Title,Speaker,Speech
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"But in addition to the email, so belt and suspenders, it was verbally briefed. And I don’t know… It’s hard sometimes for members of Congress to picture what these command post briefings are like, but picture the command post that we had stood up at the Washington Field Office, representatives for all these agencies in the room, people coming up to the microphone, one at a time saying, okay, now we’re tracking this, we’re seeing this. We don’t know if it’s real or not, but here’s what we’re seeing. And everybody’s taking notes. And the whole idea is they’re supposed to go back and pass it up, their chain of command. And then third, in addition to that, it was put into the LEAP, the Law Enforcement Portal, to make sure everybody got this"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,"I know that. Yes, please explain that."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Having said that, I do not consider what happened on January 6th to be an acceptable result. And that’s why we were looking so hard at figuring out how can the process be improved."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,"Right. And some of this of course is the whole structure we have with this capital Police Board that somehow the chief was still calling, while the insurrection was going on, these two sergeant of arms to try to get permission to get the National Guard. And this clearly there has to be some major changes to what’s going on here. I acknowledged that and I’m going to push for them, but they’re still, to me, seems like they rely on the FBI and other federal agencies to get information. And we know that the New York Police Department sent intelligence reports to them, to the Capitol Police, that’s on them, and the FBI’s Washington Field Office in late December, indicating there’d be violence on January 6th. Any comments on that?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, I’m not familiar with the specific NYPD product you’re referring to. I will tell you that we, the FBI, over the course of 2020, put out a number of intelligence products, specifically warning about domestic violent extremism, including specifically warning about it in connection with the election, including specifically warning about that threat in relation to the election, continuing past election day itself, and up through the inauguration, and including a product that I think we put out with DHS in December of 2020."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So we have tried to push out information. I am reluctant to armchair quarterback anyone else in their jobs. I can tell you, we at the FBI are determined to do our part, our part to make sure that what happened on January 6th doesn’t happen again. We find it personally infuriating, anytime. We’re not able, as I said, to bat a thousand, and we’re going to keep working together better."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,"Thank you. And I will say that the work you’ve done, your agents have done in investigating these cases, to me, that is very helpful to get those arrests out there and those prosecutions> and not only because people should be brought to justice, but it, to me, is a major deterrent for people doing this again. Thank you."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Chairman Durbin,The Senator Klobuchar. Senator Cruz.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cruz,"Thank you Mr. Chairman. Director Ray, welcome. Thank you for your service and thank you for the heroic service of the men and women at the FBI. Congress has now heard from numerous law enforcement officials that there is significant evidence that the January 6th attack on the Capitol was premeditated, planned, and coordinated. And you just had an exchange with Senator Klobuchar, where you, if I understood you correctly, expressed the FBI’s view that it was indeed planned and coordinated. I recognize this as an ongoing investigation and that you’re still learning the details, but at this point, what do we know about the planning and coordination that occurred surrounding the January 6th attack?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I guess, let me step back and say first thing is, there are sort of three groups of people involved in January 6th. The first group, the largest group, the group we need to spend the least time talking about is peaceful, maybe rowdy protestors, but who weren’t violating the law. Then there’s the second group, think of a reverse pyramid. The second group that is people who may have come intending to just be part of peaceful protest, but either swept up in the motives, or emotion, or whatever, engaged in kind of low-level criminal behavior. Trespassed, say on the Capitol grounds, but not breaching the building. Still criminal conduct, still needs to be addressed, but more on the fly, in the moment, opportunistic."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"The third group, the smallest group numerically, but by far and away, the most serious group are those who breached the Capitol grounds, who engaged in violence against law enforcement, who attempted to disrupt the members of Congress in the conduct of their constitutional responsibilities. And of those, some of those people clearly came to Washington, we now know, with plans and intentions to engage in the worst kind of violence we would consider domestic terrorism."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"And so some of that coordination appears to have been coordinated travel, coordinated meeting up, coordinated in terms of what kind of gear they might be wearing, or bringing with them. That kind of thing. Again, ongoing, obviously ongoing, much more to come, but…"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cruz,"Often in an investigation, law enforcement follows the money. Is there evidence at this point of coordinated funding, prior to January 6th, providing military equipment, providing communications equipment or the like?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Certainly, that’s a topic that we’re looking at. I don’t know that there’s anything I can say right now in terms of funding or coordinated funding."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cruz,"There’s been considerable discussion at this hearing also about the Norfolk report. At the time, how credible and reliable did the FBI considered the Norfolk report as an actionable piece of intelligence."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Senator, my understanding is that our folks at the time viewed it as raw, unverified and therefore of the unknown reliability information, but because of the level of detail that was in it, and some of this is art not science, unfortunately in the world of intelligence, the judgment was that given the press of time, given the specificity in it, even though it sounded somewhat aspirational in nature and was unverified, the smartest thing to do, the most prudent thing to do was just to push it to the people who needed to get it. And as I said, that happened three different ways."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cruz,"You had a conversation with Senator Grassley about the death of Officer Sicknick, and there obviously is considerable interest and concern in the Senate and across the country as to the circumstances of Officer’s Sicknick’s deaths. There’ve been conflicting reports about the circumstances of his death. You told Senator Grassley, the FBI at this point is not in a position to confirm a cause of death. Is there any information that the FBI can share with the American people about what we know of the circumstances surrounding his tragic death?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Although I certainly understand and appreciate the keen interest in it for all the reasons we’ve discussed, at the moment, other than to say the Capitol Police has of course categorized it, I think appropriately as a line of duty death, there’s nothing really that I can share right now. Certainly, I understand why it’s very much top of mind for people. And I think it speaks well of the members of Congress that they’re so interested in somebody who’s lost his life protecting all of you. So as soon as we’re in a position when the investigation has gotten to a stage where we can share information, we want to be able to do that."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cruz,"Now let’s talk more broadly about domestic terrorism, because the riot on January 6th didn’t come out of nowhere. And last year, the Department of Justice created a task force to investigate and understand the growth of political violence. The memo creating the task force states, “Amid peaceful demonstrations protected by the First Amendment, we have seen anti-government extremists engage in indefensible acts of violence designed to undermine public order. Among other lawless conduct, these extremists have violently attacked police officers and other government officials, destroyed public and private property, and threatened innocent people.” Is that task force still operating?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,I know the work that the task force began is still ongoing.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cruz,"In the past year, we have seen massive rioting and violence as extremists, many of them leftist extremists, took to the streets across the country, in just two weeks, at the end of May and early June, over 700 law enforcement officers were injured. Looking at all of 2020, over 14,000 people had been arrested in 49 cities, and at least 25 people have died in the violence. And it’s estimated that the property damages from these riots could exceed $2 billion. What is the FBI doing to counter this ongoing pattern of domestic terrorism?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So Senator, certainly we tried to respond aggressively with our partners to the domestic violent extremism that we saw playing out in streets all across the country this summer. A lot of that activity, I would say fell in what we would categorize as anti-government, anti-authority violent extremism. Some of it is anarchist violent extremism. Some of it is militia violent extremism. Some of it might even be sovereign citizen violent extremism. But we saw a huge uptick in violent extremism in that broad bucket over the course of last year."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"And so we’re trying to be aggressive with the tools that we have in terms of the charges we’re bringing. We’re trying to, as we talked about, frankly, in connection with January 6th, same thing for the summer, we’re trying to look at sources of funding, planning, coordination, trying to learn more about trade craft and tactics and things like that so that we can be better prepared to prevent it and feed information to our state local partners so they can be better prepared to prevent it."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"As I think I said to Senator Grassley, last year we had three times the number of anarchist violent extremist arrests. From, say the prior year, I think it was certainly more last year than the prior three years combined. And we did see, last year, Senator Grassley noted in his opening comments, the first murder by an anarchist violent extreme is last year in quite some time, certainly. Which was the individual who, in Portland, killed a supporter of an opposing viewpoint. And then the individual in question, the violent extremist, was himself killed in a shooter as the marshals were trying to apprehend him."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cruz,Thank you.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Chairman Durbin,Senator Coons.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,"Thank you, Chairman Durbin. Director Ray, welcome. Thank you for your service and your testimony today. And let me join with my colleagues in conveying our condolences on the line-of-duty deaths of special agents and Daniel Alfin and Laura Schwartzenberger. It has been a long time since there’s been a special agent line-of-duty death, but every loss of life by those who are serving us and protecting us is too many. And we join in grieving their loss and hope you will convey that to their family."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,"But our purpose here today is to focus principally on what happened in this complex, in this building, in the Capitol, on January 6th. At Charleston, Charlottesville, Pittsburgh, El Paso, Kenosha, and right here in the U.S Capitol. These are just some of the recent examples where far-right extremists and white supremacists have terrorized this country, their fellow citizens, and murdered individuals."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,"We all condemn violence, by anyone of any political persuasion, but we have to be honest about the significant threats we face. And that’s the only way we can work together to take steps to confront them. I think it’s a critical to that process for us to uncover the real facts of what happened and given some of the misinformation being spread by some colleagues, I just would appreciate your readdressing a couple of questions."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,"Can you speak with clarity about what we know about the January 6th right here at the Capitol? You’ve said there’ve been, I think 280 arrests as so far. Has there so far been any evidence that the January 6th riot here, the insurrection, was organized by people simply posing as supporters of President Trump."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,We have not seen any evidence of that. Certainly [crosstalk 01:55:34]-
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,"Is there any evidence at all that it was organized, or planned, or carried out by groups like Antifa or Black Lives Matter?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,We have not seen any evidence to that effect thus far in the investigation.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,And is there any doubt that the people who stormed the Capitol included white supremacists and other far-right extremist organizations?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"There’s no doubt that it included individuals that we would call militia violent extremists, and then, in some instances, individuals that were racially-motivated violent extremists who advocate for the superiority of the white race. But the militia violent extremist is probably, at the moment, trending the biggest bucket, if you will."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,"Well, you face challenges, we as a nation face challenges with extremists of all stripes, types, backgrounds, motivations. As the new chair of the Subcommittee on Privacy, Technology and the Law, I’m concerned about how extremists have used social media platforms to organize and incite violence, and in some ways about how social media platforms work to accentuate or accelerate those who have extreme views and to potentially radicalize those who don’t hold those views."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,I led a letter with 14 colleagues last November to Facebook raising concerns about the adequacy of their enforcement of their own policies against violence and incitement. Can you speak to the extent to which the January 6th attack on the Capitol was organized through social media platforms?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So certainly social media on January 6th, as for the domestic violent extremist threat more broadly, has become a major factor, a catalyst, if you will. The increased speed, dissemination, efficiency, accessibility that it provides, it facilitates a greater interconnected nature in a more decentralized way. I sometimes say terrorism today, and we saw it on the 6th, moves at the speed of social media."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"And we tried to work with social media companies to get them to more aggressively use the tools that they have to police their own platforms on your terms of service, et cetera, and in particular to cooperate with us so that we can bring justice for those who hijack these companies’ platforms to engage in some of the conduct we’re talking about. And that’s where you’ve heard a little bit about the encryption issue come up. That’s an important part of this. We are moving in a direction, we saw it on the 6th, and we’re seeing it more and more every day in this country, where violent extremist, just like other bad actors, are taking advantage of encrypted platforms to evade law enforcement."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"And that social media companies and the technology companies are moving more and more in a direction where if we don’t come up collectively with some kind of solution, it’s not going to matter how bulletproof the legal process is, or how horrific the crime is, or how heartbreaking the victims are, we will not be able to get access to the content and the evidence that we need to protect the American people. And then I think we will all rue the day."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cruz,"Director, this area raises a lot of very complex questions of civil liberties, of individual rights, fundamental rights to free expression, but I am also concerned about ways in which online disinformation and conspiracy theories lead to radicalization and help pave the way for this particularly tragic event in the history of our democracy and how some of the ways in which social platforms are structured, social media platforms are structured, to accelerate the spread of disinformation. How policy makers and platforms confront these issues are going to be complex. And I look forward to working with you to get the facts as the FBI develops them about what happened on January 6th."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cruz,"Two last questions, if I might. My colleague, Senator Whitehouse, asked about responding to outstanding requests for information. And I agree some of the stonewalling that we saw, by a number of agencies over the previous administration, isn’t acceptable. Can you just reassure me the FBI will be as responsive as possible to information request from this committee?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,Absolutely. My strong view is that you all have an important key function to perform in terms of your oversight of the FBI as with other agencies. And it pains and frustrates me when we’re not able to be as responsive as you need us to be. And I commit to doing my best to see if we can work with you all to get better on that front.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,"Thank you. Last, Senator Feinstein, asked you a series of questions about the record number of nixed denials last year. This is when someone goes in and tries to buy a gun, gets run through the background check system and is denied. They’re person prohibited, often because they’re a convicted felon. I’m soon going to be introducing a bill with a colleague on this committee that would simply require that when there is an attempt to buy that is denied because someone is a person prohibited, that notification be given to state law enforcement."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,"That is the law in some states, that is not the law in a majority of states. Does that seem to use something that would be a good additional tool in the toolkit to allow state and local law enforcement to act on the tip that someone who is a person prohibited has just lied and tried to procure a weapon?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Certainly, I think the lied and tried information is often a valuable tool, from an investigative perspective, in preventing a more serious conduct. And we’d be happy to meet with you or engage with you to provide a little bit better sense of how all this works from an operational perspective. I know that the key consumer of the information, here as your question alludes, are state local law enforcement. So I would want to make sure that we do it in a way where we work with them as to what they would find most useful."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Certainly, as I said in response to Senator Feinstein, the volume of NICS checks, overall, and with it, the volume as a small subset of denials, has exploded over the course of the last year. And so I am mindful of the resource burden that it puts on everybody in the law enforcement system, but we’d be happy to talk with you more about it."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Coons,"Thanks. I look forward to working with you. Thank you, Mr. Chairman."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Chairman Durbin,Senator Sasse.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Sasse,"Thank you Chairman. Thank you, Director Way, for being here and thank you for the way you’ve been available to us on this committee and on the Intel Committee. We’ve also been grateful for your work and availability. We’ve talked a good bit about the intelligence failures around January 6th, but some of it is how did we sort signal from noise. And some of it is the handoff from the FBI and other entities to the Capitol Police."
